DateTime,Ident,Secs,Secs2,TX,RX
20180424111256,7,0,1,130829,1046632
20180424111256,3,0,1,129358,1034864
20180424111256,4,0,1,130829,1046632
20180424111256,5,0,1,130829,1046632
20180424111256,6,0,1,130829,1046632
20180424111256,0,0,1,652674,5221392
20180424111257,7,1,2,130830,1046640
20180424111257,3,1,2,129359,1034872
20180424111257,4,1,2,130830,1046640
20180424111257,5,1,2,130830,1046640
20180424111257,6,1,2,130830,1046640
20180424111257,0,1,2,652679,5221432
20180424111258,7,2,3,130830,1046640
20180424111258,3,2,3,130830,1046640
20180424111258,4,2,3,129359,1034872
20180424111258,5,2,3,130830,1046640
20180424111258,6,2,3,130830,1046640
20180424111258,0,2,3,652679,5221432
20180424111259,7,3,4,130830,1046640
20180424111259,3,3,4,130830,1046640
20180424111259,4,3,4,130830,1046640
20180424111259,5,3,4,129359,1034872
20180424111259,6,3,4,130830,1046640
20180424111259,0,3,4,652679,5221432
20180424111300,7,4,5,130830,1046640
20180424111300,3,4,5,130830,1046640
20180424111300,4,4,5,130830,1046640
20180424111300,5,4,5,129359,1034872
20180424111300,6,4,5,130830,1046640
20180424111300,0,4,5,652679,5221432
20180424111301,7,5,6,130830,1046640
20180424111301,3,5,6,130830,1046640
20180424111301,4,5,6,130830,1046640
20180424111301,5,5,6,130830,1046640
20180424111301,6,5,6,129359,1034872
20180424111301,0,5,6,652679,5221432
20180424111302,7,6,7,132300,1058400
20180424111302,3,6,7,132300,1058400
20180424111302,4,6,7,132300,1058400
20180424111302,5,6,7,132300,1058400
20180424111302,6,6,7,130829,1046632
20180424111302,0,6,7,660029,5280232
20180424111303,7,7,8,130830,1046640
20180424111303,3,7,8,129359,1034872
20180424111303,4,7,8,130830,1046640
20180424111303,5,7,8,130830,1046640
20180424111303,6,7,8,130830,1046640
20180424111303,0,7,8,652679,5221432
20180424111304,7,8,9,130830,1046640
20180424111304,3,8,9,130830,1046640
20180424111304,4,8,9,130830,1046640
20180424111304,5,8,9,129359,1034872
20180424111304,6,8,9,130830,1046640
20180424111304,0,8,9,652679,5221432
20180424111305,7,9,10,129359,1034872
20180424111305,3,9,10,130830,1046640
20180424111305,4,9,10,130830,1046640
20180424111305,5,9,10,130830,1046640
20180424111305,6,9,10,130830,1046640
20180424111305,0,9,10,652679,5221432
20180424111306,7,10,11,129359,1034872
20180424111306,3,10,11,130830,1046640
20180424111306,4,10,11,130830,1046640
20180424111306,5,10,11,130830,1046640
20180424111306,6,10,11,130830,1046640
20180424111306,0,10,11,652679,5221432
20180424111307,7,11,12,129359,1034872
20180424111307,3,11,12,130830,1046640
20180424111307,4,11,12,130830,1046640
20180424111307,5,11,12,130830,1046640
20180424111307,6,11,12,130830,1046640
20180424111307,0,11,12,652679,5221432
20180424111308,7,12,13,132300,1058400
20180424111308,3,12,13,130829,1046632
20180424111308,4,12,13,132300,1058400
20180424111308,5,12,13,132300,1058400
20180424111308,6,12,13,132300,1058400
20180424111308,0,12,13,660029,5280232
20180424111309,7,13,14,130830,1046640
20180424111309,3,13,14,130830,1046640
20180424111309,4,13,14,130830,1046640
20180424111309,5,13,14,130830,1046640
20180424111309,6,13,14,129359,1034872
20180424111309,0,13,14,652679,5221432
20180424111310,7,14,15,130830,1046640
20180424111310,3,14,15,129359,1034872
20180424111310,4,14,15,130830,1046640
20180424111310,5,14,15,130830,1046640
20180424111310,6,14,15,130830,1046640
20180424111310,0,14,15,652679,5221432
20180424111311,7,15,16,129359,1034872
20180424111311,3,15,16,130830,1046640
20180424111311,4,15,16,130830,1046640
20180424111311,5,15,16,130830,1046640
20180424111311,6,15,16,130830,1046640
20180424111311,0,15,16,652679,5221432
20180424111312,7,16,17,130830,1046640
20180424111312,3,16,17,129359,1034872
20180424111312,4,16,17,130830,1046640
20180424111312,5,16,17,130830,1046640
20180424111312,6,16,17,130830,1046640
20180424111312,0,16,17,652679,5221432
20180424111313,7,17,18,130830,1046640
20180424111313,3,17,18,129359,1034872
20180424111313,4,17,18,130830,1046640
20180424111313,5,17,18,130830,1046640
20180424111313,6,17,18,130830,1046640
20180424111313,0,17,18,652679,5221432
20180424111314,7,18,19,130829,1046632
20180424111314,3,18,19,132300,1058400
20180424111314,4,18,19,132300,1058400
20180424111314,5,18,19,132300,1058400
20180424111314,6,18,19,132300,1058400
20180424111314,0,18,19,660029,5280232
20180424111315,7,19,20,130830,1046640
20180424111315,3,19,20,130830,1046640
20180424111315,4,19,20,130830,1046640
20180424111315,5,19,20,130830,1046640
20180424111315,6,19,20,129359,1034872
20180424111315,0,19,20,652679,5221432
20180424111316,7,20,21,129359,1034872
20180424111316,3,20,21,130830,1046640
20180424111316,4,20,21,130830,1046640
20180424111316,5,20,21,130830,1046640
20180424111316,6,20,21,130830,1046640
20180424111316,0,20,21,652679,5221432
20180424111317,7,21,22,130830,1046640
20180424111317,3,21,22,129359,1034872
20180424111317,4,21,22,130830,1046640
20180424111317,5,21,22,130830,1046640
20180424111317,6,21,22,130830,1046640
20180424111317,0,21,22,652679,5221432
20180424111318,7,22,23,130830,1046640
20180424111318,3,22,23,130830,1046640
20180424111318,4,22,23,130830,1046640
20180424111318,5,22,23,130830,1046640
20180424111318,6,22,23,129359,1034872
20180424111318,0,22,23,652679,5221432
20180424111319,7,23,24,130830,1046640
20180424111319,3,23,24,130830,1046640
20180424111319,4,23,24,129359,1034872
20180424111319,5,23,24,130830,1046640
20180424111319,6,23,24,130830,1046640
20180424111319,0,23,24,652679,5221432
20180424111320,7,24,25,132300,1058400
20180424111320,3,24,25,132300,1058400
20180424111320,4,24,25,130829,1046632
20180424111320,5,24,25,132300,1058400
20180424111320,6,24,25,132300,1058400
20180424111320,0,24,25,660029,5280232
20180424111321,7,25,26,130830,1046640
20180424111321,3,25,26,130830,1046640
20180424111321,4,25,26,130830,1046640
20180424111321,5,25,26,129359,1034872
20180424111321,6,25,26,130830,1046640
20180424111321,0,25,26,652679,5221432
20180424111322,7,26,27,130830,1046640
20180424111322,3,26,27,130830,1046640
20180424111322,4,26,27,129359,1034872
20180424111322,5,26,27,130830,1046640
20180424111322,6,26,27,130830,1046640
20180424111322,0,26,27,652679,5221432
20180424111323,7,27,28,130830,1046640
20180424111323,3,27,28,129359,1034872
20180424111323,4,27,28,130830,1046640
20180424111323,5,27,28,130830,1046640
20180424111323,6,27,28,130830,1046640
20180424111323,0,27,28,652679,5221432
20180424111324,7,28,29,129359,1034872
20180424111324,3,28,29,130830,1046640
20180424111324,4,28,29,130830,1046640
20180424111324,5,28,29,130830,1046640
20180424111324,6,28,29,130830,1046640
20180424111324,0,28,29,652679,5221432
20180424111325,7,29,30,130830,1046640
20180424111325,3,29,30,129359,1034872
20180424111325,4,29,30,130830,1046640
20180424111325,5,29,30,130830,1046640
20180424111325,6,29,30,130830,1046640
20180424111325,0,29,30,652679,5221432
20180424111326,7,30,31,132300,1058400
20180424111326,3,30,31,130829,1046632
20180424111326,4,30,31,132300,1058400
20180424111326,5,30,31,132300,1058400
20180424111326,6,30,31,132300,1058400
20180424111326,0,30,31,660029,5280232
20180424111327,7,31,32,130830,1046640
20180424111327,3,31,32,129359,1034872
20180424111327,4,31,32,130830,1046640
20180424111327,5,31,32,130830,1046640
20180424111327,6,31,32,130830,1046640
20180424111327,0,31,32,652679,5221432
20180424111328,7,32,33,130830,1046640
20180424111328,3,32,33,130830,1046640
20180424111328,4,32,33,129359,1034872
20180424111328,5,32,33,130830,1046640
20180424111328,6,32,33,130830,1046640
20180424111328,0,32,33,652679,5221432
20180424111329,7,33,34,129359,1034872
20180424111329,3,33,34,130830,1046640
20180424111329,4,33,34,130830,1046640
20180424111329,5,33,34,130830,1046640
20180424111329,6,33,34,130830,1046640
20180424111329,0,33,34,652679,5221432
20180424111330,7,34,35,129359,1034872
20180424111330,3,34,35,130830,1046640
20180424111330,4,34,35,130830,1046640
20180424111330,5,34,35,130830,1046640
20180424111330,6,34,35,130830,1046640
20180424111330,0,34,35,652679,5221432
20180424111331,7,35,36,130830,1046640
20180424111331,3,35,36,130830,1046640
20180424111331,4,35,36,129359,1034872
20180424111331,5,35,36,130830,1046640
20180424111331,6,35,36,130830,1046640
20180424111331,0,35,36,652679,5221432
20180424111332,7,36,37,132300,1058400
20180424111332,3,36,37,130829,1046632
20180424111332,4,36,37,132300,1058400
20180424111332,5,36,37,132300,1058400
20180424111332,6,36,37,132300,1058400
20180424111332,0,36,37,660029,5280232
