DateTime,,,,,Ident,Secs,TX,RX
20180424184509,,,,,7,0.0-1.0,524288,4194304
20180424184509,,,,,4,0.0-1.0,655360,5242880
20180424184509,,,,,6,0.0-1.0,655360,5242880
20180424184509,,,,,5,0.0-1.0,655360,5242880
20180424184509,,,,,3,0.0-1.0,524288,4194304
20180424184509,,,,,-1,0.0-1.0,3014656,24117248
20180424184510,,,,,7,1.0-2.0,655360,5242880
20180424184510,,,,,6,1.0-2.0,524288,4194304
20180424184510,,,,,5,1.0-2.0,393216,3145728
20180424184510,,,,,4,1.0-2.0,655360,5242880
20180424184510,,,,,3,1.0-2.0,262144,2097152
20180424184510,,,,,-1,1.0-2.0,2490368,19922944
20180424184511,,,,,4,2.0-3.0,655360,5242880
20180424184511,,,,,7,2.0-3.0,786432,6291456
20180424184511,,,,,6,2.0-3.0,786432,6291456
20180424184511,,,,,5,2.0-3.0,524288,4194304
20180424184512,,,,,3,2.0-3.0,393216,3145728
20180424184512,,,,,-1,2.0-3.0,3145728,25165824
20180424184512,,,,,7,3.0-4.0,524288,4194304
20180424184512,,,,,4,3.0-4.0,655360,5242880
20180424184512,,,,,6,3.0-4.0,524288,4194304
20180424184512,,,,,5,3.0-4.0,393216,3145728
20180424184512,,,,,3,3.0-4.0,131072,1048576
20180424184512,,,,,-1,3.0-4.0,2228224,17825792
20180424184513,,,,,7,4.0-5.0,786432,6291456
20180424184513,,,,,4,4.0-5.0,786432,6291456
20180424184513,,,,,5,4.0-5.0,524288,4194304
20180424184513,,,,,6,4.0-5.0,786432,6291456
20180424184513,,,,,3,4.0-5.0,393216,3145728
20180424184513,,,,,-1,4.0-5.0,3276800,26214400
20180424184514,,,,,6,5.0-6.0,393216,3145728
20180424184514,,,,,5,5.0-6.0,393216,3145728
20180424184514,,,,,4,5.0-6.0,655360,5242880
20180424184514,,,,,7,5.0-6.0,524288,4194304
20180424184514,,,,,3,5.0-6.0,393216,3145728
20180424184514,,,,,-1,5.0-6.0,2359296,18874368
20180424184515,,,,,5,6.0-7.0,524288,4194304
20180424184515,,,,,7,6.0-7.0,524288,4194304
20180424184515,,,,,3,6.0-7.0,393216,3145728
20180424184515,,,,,6,6.0-7.0,524288,4194304
20180424184515,,,,,4,6.0-7.0,655360,5242880
20180424184515,,,,,-1,6.0-7.0,2621440,20971520
20180424184516,,,,,4,7.0-8.0,655360,5242880
20180424184516,,,,,7,7.0-8.0,655360,5242880
20180424184516,,,,,6,7.0-8.0,524288,4194304
20180424184516,,,,,5,7.0-8.0,655360,5242880
20180424184516,,,,,3,7.0-8.0,524288,4194304
20180424184516,,,,,-1,7.0-8.0,3014656,24117248
20180424184517,,,,,5,8.0-9.0,393216,3145728
20180424184517,,,,,4,8.0-9.0,524288,4194304
20180424184517,,,,,6,8.0-9.0,393216,3145728
20180424184517,,,,,7,8.0-9.0,524288,4194304
20180424184517,,,,,3,8.0-9.0,393216,3145728
20180424184517,,,,,-1,8.0-9.0,2228224,17825792
20180424184518,,,,,4,9.0-10.0,655360,5242880
20180424184518,,,,,5,9.0-10.0,524288,4194304
20180424184518,,,,,7,9.0-10.0,655360,5242880
20180424184518,,,,,6,9.0-10.0,524288,4194304
20180424184518,,,,,3,9.0-10.0,524288,4194304
20180424184518,,,,,-1,9.0-10.0,2883584,23068672
20180424184519,,,,,7,10.0-11.0,655360,5242880
20180424184519,,,,,6,10.0-11.0,524288,4194304
20180424184519,,,,,4,10.0-11.0,655360,5242880
20180424184519,,,,,3,10.0-11.0,393216,3145728
20180424184519,,,,,5,10.0-11.0,655360,5242880
20180424184519,,,,,-1,10.0-11.0,2883584,23068672
20180424184520,,,,,6,11.0-12.0,393216,3145728
20180424184520,,,,,4,11.0-12.0,262144,2097152
20180424184520,,,,,7,11.0-12.0,655360,5242880
20180424184520,,,,,3,11.0-12.0,262144,2097152
20180424184520,,,,,5,11.0-12.0,262144,2097152
20180424184520,,,,,-1,11.0-12.0,1835008,14680064
20180424184521,,,,,7,12.0-13.0,655360,5242880
20180424184521,,,,,5,12.0-13.0,524288,4194304
20180424184521,,,,,6,12.0-13.0,655360,5242880
20180424184521,,,,,4,12.0-13.0,524288,4194304
20180424184521,,,,,3,12.0-13.0,393216,3145728
20180424184521,,,,,-1,12.0-13.0,2752512,22020096
20180424184522,,,,,5,13.0-14.0,393216,3145728
20180424184522,,,,,6,13.0-14.0,393216,3145728
20180424184522,,,,,7,13.0-14.0,786432,6291456
20180424184522,,,,,4,13.0-14.0,262144,2097152
20180424184522,,,,,3,13.0-14.0,262144,2097152
20180424184522,,,,,-1,13.0-14.0,2097152,16777216
20180424184523,,,,,7,14.0-15.0,655360,5242880
20180424184523,,,,,4,14.0-15.0,393216,3145728
20180424184523,,,,,6,14.0-15.0,524288,4194304
20180424184523,,,,,5,14.0-15.0,524288,4194304
20180424184523,,,,,3,14.0-15.0,262144,2097152
20180424184523,,,,,-1,14.0-15.0,2359296,18874368
20180424184524,,,,,7,15.0-16.0,917504,7340032
20180424184524,,,,,5,15.0-16.0,393216,3145728
20180424184524,,,,,4,15.0-16.0,393216,3145728
20180424184524,,,,,6,15.0-16.0,655360,5242880
20180424184524,,,,,3,15.0-16.0,393216,3145728
